flow_point,method,n,mae_pct,mean_error_pct
20,phys6,19,0.1463831037067667,0.12375624185016253
20,owics,19,0.7729766686238027,0.7729766686238027
20,lagrange,19,0.2927763654762708,0.25664916600052967
20,equal_weight,19,0.8942297648084372,0.8942297648084372
30,phys6,20,0.11322898340591141,-0.03127036583066982
30,owics,20,0.6141216347344136,0.6141216347344136
30,lagrange,20,0.22252320572562376,0.11575834101286911
30,equal_weight,20,0.7407832828992192,0.7407832828992192
40,phys6,22,0.16900468599186216,-0.16875902906524462
40,owics,22,0.47537200590892065,0.47537200590892065
40,lagrange,22,0.1407228067619515,-0.02147631027798242
40,equal_weight,22,0.6026224067539508,0.6026224067539508
50,phys6,22,0.2429249798553252,-0.2429249798553252
50,owics,22,0.39691944819160374,0.39691944819160374
50,lagrange,22,0.18919072303943849,-0.14440563867431122
50,equal_weight,22,0.5327043012787968,0.5327043012787968
60,phys6,34,0.24547136233357783,-0.24504587265303499
60,owics,34,0.3960124896617501,0.3960124896617501
60,lagrange,34,0.17361613904983073,-0.11883386344881325
60,equal_weight,34,0.528822042944152,0.528822042944152
70,phys6,32,0.14489602297590776,-0.13737156811132112
70,owics,32,0.5031094400548013,0.5031094400548013
70,lagrange,32,0.134380765223727,-0.008523929516319771
70,equal_weight,32,0.638641162287801,0.638641162287801
80,phys6,10,0.16328094439460888,-0.16328094439460888
80,owics,10,0.4768400471037134,0.4768400471037134
80,lagrange,10,0.17200350487528315,-0.04897837307544562
80,equal_weight,10,0.6129670765244851,0.6129670765244851
