online_class,flow_point,n,base_error_mean_pct,base_error_sd_pct,disturbance_delta_to_d0,total_delta_to_zero,d0_target_error_pct,anova_f,anova_p
A,20,8,0.1472404153793016,0.17256399862528732,-0.005996247757528703,-0.001467643032264515,-0.45352608692785096,8.964768471724243,3.477652982314356e-07
A,30,10,-0.04048412942994454,0.14127115204134713,-0.004130300886036687,0.0004068049498120452,-0.45352608692785096,8.964768471724243,3.477652982314356e-07
A,40,10,-0.1607562558562391,0.13529626324956368,-0.002930763518976631,0.0016118073169552494,-0.45352608692785096,8.964768471724243,3.477652982314356e-07
A,50,9,-0.22553391375294268,0.18601192292500848,-0.0017161434655998458,0.0022635371110566213,-0.39706927662235714,8.964768471724243,3.477652982314356e-07
A,60,18,-0.25555888077292327,0.14213511634187517,-0.001681614660312605,0.0025640588578377376,-0.4234815202718554,8.964768471724243,3.477652982314356e-07
A,70,15,-0.14533430435434297,0.1036630411150958,-0.0020190697973118342,0.001456466089822106,-0.3470481248879572,8.964768471724243,3.477652982314356e-07
A,80,4,-0.10145578896862265,0.07105225477703875,-0.002366543575099328,0.0010159682398023229,-0.33790787781831777,8.964768471724243,3.477652982314356e-07
B,20,11,0.10654746922068256,0.0971445532605724,-0.005593923993923434,-0.0010634863125030813,-0.45352608692785096,12.078786010155584,3.427200183327629e-09
B,30,10,-0.02220606040824104,0.1341730679464297,-0.0043125449219431735,0.00022373062407995414,-0.45352608692785096,12.078786010155584,3.427200183327629e-09
B,40,11,-0.15029561054605112,0.11159967488312991,-0.0030357371217432498,0.0015063554625195778,-0.45352608692785096,12.078786010155584,3.427200183327629e-09
B,50,11,-0.2292772319707403,0.08611786868711979,-0.0016811009572674784,0.002298719317120143,-0.39706927662235714,12.078786010155584,3.427200183327629e-09
B,60,13,-0.1895071235405582,0.1118084958812599,-0.002343030787815623,0.0018998298432054352,-0.4234815202718554,12.078786010155584,3.427200183327629e-09
B,70,15,-0.10161131025293252,0.11639911863406015,-0.002455600128402713,0.0010184155124163263,-0.3470481248879572,12.078786010155584,3.427200183327629e-09
B,80,4,-0.13797944376558768,0.03266690345464441,-0.0020019666397695646,0.0013817812862340628,-0.33790787781831777,12.078786010155584,3.427200183327629e-09
