date,flow_point,n,mean_error_pct,sd_pct,pass_group,disturbance_id
20260607,60,3,-0.423481520271866,0.02265924186714347,False,D0
20260608,60,5,-0.3275271133373936,0.056023652372165535,False,D7
20260608,70,3,-0.16900783031957486,0.04226812759513924,False,D7
20260609,50,3,-0.4663737248641257,0.04556430199938237,False,D5
20260609,60,5,-0.40599486434540255,0.04802570504875505,False,D5
20260609,70,4,-0.28731434523573685,0.028759040423732087,False,D5
20260610,70,3,-0.17454618169194433,0.00954967930342438,True,D6
20260612,20,3,0.05814568677844356,0.06312621566293601,False,D8
20260612,40,3,-0.27092096445548625,0.023799696888513796,False,D8
20260612,50,3,-0.2515153477683903,0.05532335099541294,False,D8
20260612,60,3,-0.3066301278237778,0.04579921470008748,False,D8
20260612,70,3,-0.2344203531221408,0.10637444868092688,False,D8
20260613,20,4,0.19087321398853496,0.11080933804780682,False,D4
20260613,30,5,0.07731162971463146,0.10662925018966606,False,D4
20260613,40,4,-0.04128149558976224,0.06598690104303975,False,D4
20260613,50,4,-0.1945398591828712,0.12240215640530114,False,D4
20260613,60,5,-0.09182229529512531,0.07366081670819312,False,D4
20260613,70,6,-0.03532618406149416,0.09772431126550346,False,D4
20260614,20,4,0.12178984631411316,0.040579761457736285,False,D3
20260614,30,4,-0.027400128141774616,0.08277420188708641,False,D3
20260614,40,5,-0.13544372482494849,0.07108257872603356,False,D3
20260614,50,3,-0.18757820886448062,0.024439583076563194,True,D3
20260614,60,5,-0.14980078750955084,0.04279507883506059,False,D3
20260614,70,6,-0.04807724560829304,0.05974940612401158,False,D3
20260615,20,4,0.2704414523214793,0.0831483319044195,False,D1
20260615,30,4,0.06986870777024867,0.0486009049266357,False,D1
20260615,40,4,-0.041631112489537436,0.027005257254485816,True,D1
20260615,50,5,-0.08863616130156293,0.029531862482518968,True,D1
20260615,60,6,-0.11387926653784186,0.07438994712394285,False,D1
20260615,70,5,-0.06411663294926928,0.028744153723004862,True,D1
